Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,15/7/2020,11.6,9.4,11.6,11.6,27.4,31.7,25,8.7,25.9,1.4439,103.7854
North,Admiralty,16/7/2020,3.8,NA,NA,NA,28,34.6,24.2,11,40.7,1.4439,103.7854
North,Admiralty,17/7/2020,0,0,0,0,29,33.2,25.2,9.6,25.9,1.4439,103.7854
North,Admiralty,18/7/2020,7.4,3,4.8,5.6,27.7,31.8,26,12.1,34.3,1.4439,103.7854
North,Admiralty,19/7/2020,0,0,0,0,28.4,33.2,24.8,9.7,27.8,1.4439,103.7854
North,Admiralty,20/7/2020,0,0,0,0,29.4,33.4,27.3,13.2,39.6,1.4439,103.7854
North,Admiralty,21/7/2020,0,0,0,0,29.5,33.9,27.4,11.7,38.2,1.4439,103.7854
North,Admiralty,22/7/2020,19,12.8,13.4,13.4,27.3,29.9,23.8,9.8,25.6,1.4439,103.7854
North,Admiralty,23/7/2020,2.2,1.2,1.6,1.8,27.6,31.1,24.7,9,36.3,1.4439,103.7854
North,Admiralty,24/7/2020,9,8.2,8.6,8.6,27.4,30.8,24.2,11,42.8,1.4439,103.7854
North,Admiralty,25/7/2020,5,5,5,5,27,31,24.8,10.9,31.7,1.4439,103.7854
North,Admiralty,26/7/2020,17.2,10,10.4,10.4,27.1,31.8,24,10.8,45.4,1.4439,103.7854
North,Admiralty,27/7/2020,40.6,14.6,15.6,19.8,26,29.9,22.8,10.3,43.5,1.4439,103.7854
North,Admiralty,28/7/2020,0.2,0.2,0.2,0.2,27.7,31.6,24.5,9.7,27.4,1.4439,103.7854
North,Admiralty,29/7/2020,9.4,3.4,4.2,5.6,25.9,28.4,23.9,9.9,22,1.4439,103.7854
North,Admiralty,30/7/2020,0,0,0,0,28.4,32.7,25.2,10.4,26.3,1.4439,103.7854
North,Admiralty,31/7/2020,26,19.8,25.6,26,27.9,30.9,23.4,9.6,39.3,1.4439,103.7854
North,Admiralty,1/8/2020,1.2,1.2,1.2,1.2,27.2,30.8,25,20.9,50,1.4439,103.7854
North,Admiralty,2/8/2020,0,0,0,0,27.3,30.9,24.3,19.1,42.5,1.4439,103.7854
North,Admiralty,3/8/2020,16.4,10.8,15,15.4,27.9,33.6,25.6,12.6,31,1.4439,103.7854
North,Admiralty,4/8/2020,33.6,27.6,32.8,33,27.9,35.1,23.3,12.1,35.6,1.4439,103.7854
North,Admiralty,5/8/2020,8.4,3.8,4.4,7,28.8,32.3,25.3,9.2,29.8,1.4439,103.7854
North,Admiralty,6/8/2020,0,0,0,0,29.3,34.8,27.1,10.9,34.3,1.4439,103.7854
North,Admiralty,7/8/2020,4,4,4,4,27,30,25.1,8.7,23.7,1.4439,103.7854
North,Admiralty,8/8/2020,0,0,0,0,30.2,34.6,27.6,9.2,27.8,1.4439,103.7854
North,Admiralty,9/8/2020,0.2,0.2,0.2,0.2,28,31.9,25.4,12.2,34.6,1.4439,103.7854
North,Admiralty,10/8/2020,20.2,13.8,15,16.6,26.6,30.9,23.6,10.8,68.3,1.4439,103.7854
North,Admiralty,11/8/2020,15.6,13.6,13.8,15,25.6,29.1,24,11,34.3,1.4439,103.7854
North,Admiralty,12/8/2020,0,0,0,0,27.9,32,25.8,19.8,47.6,1.4439,103.7854
North,Admiralty,13/8/2020,31.4,21,25.6,27.6,28.2,32.8,23.8,8,24.8,1.4439,103.7854
North,Admiralty,14/8/2020,9,4.6,6.6,7.2,25.6,28.4,22.9,13,41.1,1.4439,103.7854
North,Admiralty,15/8/2020,18.2,15.4,18,18.2,27.1,33,24.4,10.4,33.2,1.4439,103.7854
North,Admiralty,16/8/2020,0.2,0.2,0.2,0.2,27.9,31.7,24.6,8.6,29.8,1.4439,103.7854
North,Admiralty,17/8/2020,1.8,1.4,1.8,1.8,27.3,32.2,24.4,9.8,37.4,1.4439,103.7854
North,Admiralty,18/8/2020,0.6,0.4,0.4,0.4,27.1,29.2,25.8,8.5,25.2,1.4439,103.7854
North,Admiralty,19/8/2020,0.6,0.4,0.4,0.4,27.7,31.9,24.7,9.8,31.7,1.4439,103.7854
North,Admiralty,20/8/2020,0,0,0,0.4,28.2,32.5,25.4,11.6,42.4,1.4439,103.7854
North,Admiralty,21/8/2020,0,0,0,0,29.6,33.5,27.4,11.1,32,1.4439,103.7854
North,Admiralty,22/8/2020,12.6,5.6,9.2,11.8,27.5,32.7,24.3,10.8,38.5,1.4439,103.7854
North,Admiralty,23/8/2020,20.8,13.6,15.8,19.2,25.1,28.2,23,11,43.9,1.4439,103.7854
North,Admiralty,24/8/2020,0,0,0,0,27.8,32.7,23.8,14.3,35.2,1.4439,103.7854
